gml_id,OBJECTID,UID,AFL,ANL,BEG,FLN,FSK,FSN,GDZ,GMK,MAT,ZAE,NEN,ZDE,LAGEBEZ,TNTXT,SHAPE_Length,SHAPE_Area,ARZ,area_ha,solar_kwh_m2,solar_ertrag_kwp,energie_mwh_jahr,co2_t_jahr,dist_autobahn_m,dist_bahn_m,score_flaeche,score_infra,score_gesamt,score_solar
Flurstueck.128631,128631,DEHE06200001q81s,124592.0,000000,2025-06-27T00:00:00,13,060505013000180001__,18/1,06/4/12/000/,505,DLKM,18,1.0,1972-01-01T00:00:00,Im Hölingsberg,124592 qm Landwirtschaft (Ackerland),1514.51631804,124461.93067425,,12.446193067465972,1166.56,913.16,13638.438793784671,5455.3755175138685,1738.8997925082194,3425.404691854295,0.5203152860132865,0.8094762718078997,0.7427056073476455,0.8760683760683321
Flurstueck.128890,128890,DEHE06200001q81i,84674.0,000000,2025-06-27T00:00:00,13,06050501300009______,9,06/4/12/000/,505,DLKM,9,,,Im hintersten Rath,84674 qm Landwirtschaft (Ackerland),1295.01909055,84688.65414287,,8.468865414291471,1166.56,913.17,9280.216596442253,3712.086638576901,1514.7117059064215,3331.3442431517915,0.13108424125126605,0.9999999999999999,0.7021457851958794,0.8760683760683321
Flurstueck.128086,128086,DEHE06200001q81y,100631.0,000000,2025-06-27T00:00:00,14,06050501400005______,5,06/4/12/000/,505,DLKM,5,,,Am Holzweg,100631 qm Landwirtschaft (Ackerland),1342.57712345,100703.91482322,,10.070391482302009,1166.56,913.17,11035.175267872472,4414.070107148989,1833.4639179067783,2856.869659101429,0.28781351251656273,0.7430759197899649,0.6463949344914544,0.8760683760683321
Flurstueck.121521,121521,DEHE06200001pLnw,79504.0,060000,2025-06-27T00:00:00,5,060506005004740002__,474/2,06/4/12/000/,506,DLKM,474,2.0,1977-01-01T00:00:00,Auf der Roten Beune,79504 qm Landwirtschaft (Ackerland),1187.65657021,79530.15505087,,7.953015505062002,1166.56,913.17,8714.946202508962,3485.978481003585,1645.0892737970269,3030.9851463198215,0.08060190320463223,0.8828856081626107,0.6401553270469336,0.8760683760683321
Flurstueck.128497,128497,DEHE06200001q81Q,96592.0,000000,2025-06-27T00:00:00,14,06050501400022______,22,06/4/12/000/,505,DLKM,22,,,Hauptweg Links,96592 qm Landwirtschaft (Ackerland),1354.21431651,96631.75944442,,9.663175944448268,1166.56,913.17,10588.94685263019,4235.578741052076,1922.1407938950106,3141.224547429146,0.24796240064861474,0.6867423189146081,0.6119061605809273,0.8760683760683321
Flurstueck.127771,127771,DEHE06200001q7Xc,173466.0,000000,2025-06-27T00:00:00,7,06050500700008______,8,06/4/12/000/,505,DLKM,8,,,Am Entenschnabel,173466 qm Landwirtschaft (Ackerland),1747.10927289,173478.14619553,,17.3478146195468,1167.14,912.92,19004.60030697199,7601.840122788798,4681.454450305568,1216.7835759834804,1.0,0.0,0.6,1.0
Flurstueck.128510,128510,DEHE06200001q81q,88124.0,000000,2025-06-27T00:00:00,13,060505013000160001__,16/1,06/4/12/000/,505,DLKM,16,1.0,1972-01-01T00:00:00,Im Hölingsberg,88124 qm Landwirtschaft (Ackerland),1368.67501159,88137.55145203,,8.813755145224054,1166.56,913.17,9658.1481431571,3863.2592572628396,1919.2540823034865,3648.584473612054,0.1648359967023001,0.6884942257240588,0.5876690021208132,0.8760683760683321
Flurstueck.171029,171029,DEHE06200001q7Y8,102668.0,060000,2025-10-19T00:00:00,8,06050500800052______,52,06/4/12/000/,505,DLKM,52,,,Zum Schäferköppel 201,982 qm Gehoelz; 9237 qm Flaeche Gemischter Nutzung (Gebäude- und Freifläche Land- und Forstwirtschaft); 92449 qm Landwirtschaft (Ackerland),1710.71858492,102514.56240225,,10.251456240254116,1167.14,912.93,11230.63433449823,4492.253733799293,3594.687937024585,1927.6758553931036,0.30553295407452197,0.14466320259203325,0.4495251672591699,1.0
Flurstueck.127357,127357,DEHE06200001q7X4,112624.0,060000,2025-06-27T00:00:00,7,06050500700001______,1,06/4/12/000/,505,DLKM,1,,,Rohräcker,112624 qm Landwirtschaft (Ackerland),1658.87814072,112480.50525828,,11.248050525848017,1167.14,912.92,12322.28434326861,4928.913737307444,4145.5156509645985,1700.239086017994,0.40306211657034186,0.06186367427700723,0.4456641046819054,1.0
Flurstueck.127677,127677,DEHE06200001q7X6,112531.0,060000,2025-06-27T00:00:00,7,06050500700003______,3,06/4/12/000/,505,DLKM,3,,,Am Bäumchen,112531 qm Landwirtschaft (Ackerland),1658.40527691,112521.78642403,,11.252178642398698,1167.14,912.92,12326.806711462343,4930.722684584937,4308.344138128204,1583.0711373697104,0.4034661041866596,0.041440968381028065,0.4376162186084091,1.0
Flurstueck.127140,127140,DEHE06200001q7X8,112859.0,000000,2025-06-27T00:00:00,7,06050500700005______,5,06/4/12/000/,505,DLKM,5,,,Wingert,112859 qm Landwirtschaft (Ackerland),1658.96552281,112724.2279704,,11.272422797052908,1167.14,912.92,12348.984263862647,4939.5937055450595,4472.009190865041,1459.492782420593,0.40544724684160105,0.022411687852386897,0.43059884919343505,1.0
Flurstueck.47196,47196,DEHE06200001GKxQ,98501.0,060000,2025-06-27T00:00:00,6,060505006000010006__,1/6,06/4/12/000/,505,DLKM,1,6.0,2012-02-22T00:00:00,Am Steinberg,1202 qm Gehoelz; 7253 qm Flaeche Gemischter Nutzung (Gebäude- und Freifläche Land- und Forstwirtschaft); 90046 qm Landwirtschaft (Ackerland),1571.10017012,98430.85250944,,9.843085250952774,1167.14,912.93,10783.257381782778,4313.302952713111,4240.25975333475,1439.066242664036,0.2655687668923583,0.0497896682839587,0.39958649738129093,1.0
Flurstueck.127403,127403,DEHE06200001q7WJ,99249.0,060000,2025-06-27T00:00:00,6,060505006000140001__,14/1,06/4/12/000/,505,DLKM,14,1.0,2001-01-01T00:00:00,In der Kurzen Streich,99249 qm Landwirtschaft (Ackerland),1499.17244198,98938.36746985,,9.893836747001814,1167.14,912.93,10838.856457728438,4335.5425830913755,4404.8610218648255,1294.4706108149799,0.27053543284321024,0.03004795252266923,0.39317981086203074,1.0
Flurstueck.127028,127028,DEHE06200001q7Ys,96654.0,000000,2025-06-27T00:00:00,9,060505009000090004__,9/4,06/4/12/000/,505,DLKM,9,4.0,1999-01-01T00:00:00,Am Hasenpfad,96654 qm Landwirtschaft (Ackerland),1251.0971868,96336.45751029,,9.633645751051187,1167.14,912.92,10553.69745485958,4221.478981943833,4247.476321261998,1939.1431913904387,0.2450725034537492,0.04889207413631125,0.39307858069064927,1.0
Flurstueck.171047,171047,DEHE06200001q7Xf,73077.0,060000,2025-10-19T00:00:00,7,06050500700013______,13,06/4/12/000/,505,DLKM,13,,,Am Entenschnabel,73077 qm Landwirtschaft (Ackerland),1169.1020003,72972.22368645,,7.297222368648967,1167.14,912.92,7994.136293744417,3197.654517497767,4554.007745638475,1656.471540220101,0.016424377515976363,0.013391934339240519,0.3102840869904891,1.0
Flurstueck.69545,69545,DEHE06200001jtOv,71343.0,HE1000,2025-06-27T00:00:00,1,060495001007330020__,733/20,06/4/12/000/,495,DLKM,733,20.0,2002-01-01T00:00:00,Bezirkssportanlage Harheim; Riedhalsstraße 28,432 qm Industrie Und Gewerbeflaeche (Handel und Dienstleistung); 1143 qm Unland Vegetationslose Flaeche; 2038 qm Sport Freizeit Und Erholungsflaeche (Park); 2682 qm Fliessgewaesser (Graben); 3080 qm Platz (Parkplatz); 4549 qm Gehoelz; 8769 qm Landwirtschaft (Grünland); 48650 qm Sport Freizeit Und Erholungsflaeche (Sportanlage),1655.60354057,71293.91123524,,7.129391123532302,1162.46,908.53,7772.718860955362,3109.087544382145,2826.2317142921947,231.3334559548581,0.0,0.31407869276289613,0.12563147710515846,0.0
Flurstueck.161640,161640,DEHE06200001V4Xv,77583.0,060000,2025-06-27T00:00:00,2,060505002000460007__,46/7,06/4/12/000/,505,DLKM,46,7.0,2014-03-11T00:00:00,Erlenbacher Stadtweg 52,451 qm Weg; 11141 qm Flaeche Gemischter Nutzung (Gebäude- und Freifläche Land- und Forstwirtschaft); 65991 qm Landwirtschaft (Ackerland),1646.05180599,77633.2051262,,7.763320512610112,1162.46,908.52,8463.758342539846,3385.503337015939,3074.283136808757,1578.48866858274,0.06203788571936386,0.25013869846896697,0.11866684510339595,0.0
